EpochTime:1573732145231;AccX:-0.145;AccY:0.020;AccZ:9.175
EpochTime:1573732145242;AccX:-0.153;AccY:0.034;AccZ:9.756
EpochTime:1573732145252;GravX:-0.154;GravY:0.034;GravZ:9.805
EpochTime:1573732145256;AccX:-0.147;AccY:0.012;AccZ:9.815
EpochTime:1573732145260;GravX:-0.147;GravY:0.012;GravZ:9.806
EpochTime:1573732145264;AccX:-0.132;AccY:0.026;AccZ:9.825
EpochTime:1573732145268;GravX:-0.132;GravY:0.026;GravZ:9.806
EpochTime:1573732145271;AccX:-0.133;AccY:0.026;AccZ:9.841
EpochTime:1573732145275;GravX:-0.132;GravY:0.027;GravZ:9.806
EpochTime:1573732145278;AccX:-0.153;AccY:0.026;AccZ:9.814
EpochTime:1573732145282;GravX:-0.153;GravY:0.026;GravZ:9.805
EpochTime:1573732145285;AccX:-0.136;AccY:0.019;AccZ:9.813
EpochTime:1573732145288;GravX:-0.137;GravY:0.019;GravZ:9.806
EpochTime:1573732145291;AccX:-0.172;AccY:0.020;AccZ:9.801
EpochTime:1573732145294;GravX:-0.172;GravY:0.020;GravZ:9.805
EpochTime:1573732145298;AccX:-0.152;AccY:0.022;AccZ:9.811
EpochTime:1573732145301;GravX:-0.152;GravY:0.022;GravZ:9.805
EpochTime:1573732145389;AccX:-0.123;AccY:0.011;AccZ:9.851
EpochTime:1573732145392;GravX:-0.123;GravY:0.011;GravZ:9.806
EpochTime:1573732145394;AccX:-0.128;AccY:0.017;AccZ:9.831
EpochTime:1573732145397;GravX:-0.124;GravY:0.011;GravZ:9.806
EpochTime:1573732145399;AccX:-0.151;AccY:0.020;AccZ:9.834
EpochTime:1573732145402;GravX:-0.150;GravY:0.020;GravZ:9.805
EpochTime:1573732145405;AccX:-0.141;AccY:0.022;AccZ:9.820
EpochTime:1573732145407;GravX:-0.142;GravY:0.021;GravZ:9.806
EpochTime:1573732145411;AccX:-0.165;AccY:0.014;AccZ:9.829
EpochTime:1573732145414;GravX:-0.165;GravY:0.014;GravZ:9.805
EpochTime:1573732145416;AccX:-0.145;AccY:0.014;AccZ:9.798
EpochTime:1573732145418;GravX:-0.145;GravY:0.014;GravZ:9.806
EpochTime:1573732145420;AccX:-0.147;AccY:0.012;AccZ:9.864
EpochTime:1573732145422;GravX:-0.145;GravY:0.015;GravZ:9.806
